Date,Open,High,Low,Close,Volume
42292,47.01,47.03,46.53,47.01,27189370
42293,47.02,47.54,46.897,47.51,26450334
42296,47.42,47.88,47.02,47.62,29387580
42297,47.44,47.81,47.02,47.77,30802236
42298,47.92,47.99,47.11,47.2,25264710
42299,47.53,48.95,47.09,48.03,56637072
42300,52.3,54.07,52.25,52.87,135227056
42303,52.53,54.32,52.5,54.25,64633324
42304,53.99,54.37,53.58,53.69,50999908
42305,53.54,53.98,52.86,53.98,47000752
42306,53.54,53.83,53.22,53.36,30202078
42307,53.32,53.99,52.62,52.64,46619760
42310,52.85,53.36,52.62,53.24,30284982
42311,52.93,54.39,52.9,54.15,36596932
42312,54.18,54.88,54.06,54.4,37087848
42313,54.49,54.7,54,54.38,31468484
42314,54.085,54.98,53.964,54.92,32851204
42317,54.55,54.87,53.56,54.16,32513068
42318,54.07,54.13,53.27,53.51,55283696
42319,53.7,54.2,53.46,53.65,36516260
42320,53.48,53.979,53.19,53.32,35361096
42321,53.07,53.29,52.53,52.84,36848176
42324,53.08,53.89,52.85,53.765,32165198
42325,53.17,53.53,52.85,52.97,31551256
42326,53,53.98,52.98,53.85,29710030
42327,53.99,54.66,53.781,53.94,28149228
42328,54.25,54.3,53.265,54.19,37147608
42331,54.25,54.46,53.75,54.19,28235918
42332,53.92,54.44,53.58,54.25,24600044
42333,54.09,54.23,53.69,53.69,21005148
42335,53.8,54.08,53.79,53.93,9009132
42338,54.54,54.96,54,54.35,56241416
42339,54.41,55.23,54.3,55.22,39952780
42340,55.32,55.96,55.06,55.21,47274880
42341,55.49,55.77,53.93,54.2,38627836
42342,54.12,56.23,54.1,55.91,43963664
42345,55.79,55.97,55.29,55.81,30709764
42346,55.47,56.1,54.99,55.79,32878026
42347,55.37,55.87,54.51,54.98,36373208
42348,55.39,55.655,55.01,55.27,31775826
42349,54.71,55.1,54.01,54.06,39549496
42352,54.33,55.21,53.68,55.14,47006492
42353,55.66,55.9,55.09,55.2,39843000
42354,55.54,56.245,54.76,56.13,37503300
42355,56.36,56.79,55.535,55.7,41280908
42356,55.77,56,54.03,54.13,84684160
42359,54.88,55.35,54.226,54.83,37246324
42360,54.99,55.48,54.5,55.35,28322240
42361,55.7,55.88,55.44,55.82,27279832
42362,55.86,55.96,55.43,55.67,9570002
42366,55.35,55.95,54.98,55.95,22458292
42367,56.29,56.85,56.06,56.55,27731404
42368,56.47,56.78,56.287,56.31,21704504
42369,56.04,56.19,55.42,55.48,27334060
42373,54.32,54.8,53.39,54.8,53777964
42374,54.93,55.39,54.54,55.05,34079672
42375,54.32,54.4,53.64,54.05,39518864
42376,52.7,53.485,52.07,52.17,56564852
42377,52.37,53.28,52.15,52.33,48753968
42380,52.51,52.85,51.46,52.3,36943756
